feature,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,abs_spearman_r,pearson_p_adj,spearman_p_adj
number_of_bathrooms,119743,0.5041412674783419,0.0,0.5939325709337998,0.0,0.5939325709337998,0.0,0.0
amenity_count,126242,0.3869143081026093,0.0,0.44608096049713597,0.0,0.44608096049713597,0.0,0.0
number_of_bedrooms,43656,0.42428150662196296,0.0,0.43463596731587295,0.0,0.43463596731587295,0.0,0.0
total_rooms,68605,0.08497817720353443,3.873261172306049e-110,0.4298121437782761,0.0,0.4298121437782761,9.236238180114426e-110,0.0
bathrooms_per_bedroom,39320,0.18359403755922157,3.95412387836848e-295,0.4186872573402819,0.0,0.4186872573402819,1.1143440020856625e-294,0.0
parking,126096,0.3217075725479419,0.0,0.37743087170972556,0.0,0.37743087170972556,0.0,0.0
construction_year,83118,0.31448644271897996,0.0,0.37005422715954917,0.0,0.37005422715954917,0.0,0.0
property_age,83118,-0.31448644271898,0.0,-0.37005422715954917,0.0,0.37005422715954917,0.0,0.0
construction_decade,83118,0.3143806911829923,0.0,0.36399390087800676,0.0,0.36399390087800676,0.0,0.0
rooms_per_bathroom,59085,-0.20637832758829355,0.0,-0.2971684059627061,0.0,0.2971684059627061,0.0,0.0
missing_core_feature_count,126242,-0.27863709742167125,0.0,-0.28195097599970953,0.0,0.28195097599970953,0.0,0.0
bedrooms_per_room,20512,0.23659829916828054,6.450824220141656e-259,0.27488444790343,0.0,0.27488444790343,1.6664629235365946e-258,0.0
log_living_area,97426,0.03242810046192392,4.307857707056227e-24,0.25194639391527524,0.0,0.25194639391527524,7.419088273263503e-24,0.0
living_area,97426,0.014473526696976434,6.2479398700516545e-06,0.25194639391527524,0.0,0.25194639391527524,8.42113634659136e-06,0.0
log_built_area,24531,0.09496940147448626,2.949820080713328e-50,0.24442362218193117,0.0,0.24442362218193117,5.715276406382073e-50,0.0
built_area,24531,0.02898202461507309,5.625536372023147e-06,0.24442362218193117,0.0,0.24442362218193117,7.92689216057807e-06,0.0
gross_area,25668,0.029684048871214525,1.9691196002794195e-06,0.23990743406851173,0.0,0.23990743406851173,2.9067956004124762e-06,0.0
log_gross_area,25668,0.09476287005165605,2.7825789293217215e-52,0.23990743406851173,0.0,0.23990743406851173,5.750663120598224e-52,0.0
number_of_wc,53034,0.2197998610702353,0.0,0.2378777424926634,0.0,0.2378777424926634,0.0,0.0
built_total_area_ratio,24010,0.014554882874402613,0.02411422232080151,0.15800785836249662,5.046508208301534e-134,0.15800785836249662,0.03114753716436862,7.449607355111789e-134
living_total_area_ratio,96520,-0.0016567823270961619,0.6067505676146266,-0.1351877707068965,0.0,0.1351877707068965,0.6067505676146266,0.0
publish_year,27472,0.13020628372301424,3.7207016251618236e-104,0.13270578542693975,3.745823158646206e-108,0.13270578542693975,8.238696455715467e-104,5.278205359910563e-108
publish_month_cos,27472,0.06966434826887649,6.558439913152219e-31,0.08315407382123843,2.351217418864237e-43,0.08315407382123843,1.1959508076924634e-30,2.915509599391654e-43
total_area,117571,-0.0024335493524267463,0.40404263569637233,0.05657277112722864,5.949604372997041e-84,0.05657277112722864,0.4290495979482489,7.684905648454511e-84
log_total_area,117571,-0.01584018832765427,5.5830276559797305e-08,0.05657277112722864,5.949604372997041e-84,0.05657277112722864,8.653692866768582e-08,7.684905648454511e-84
gross_total_area_ratio,25257,0.008849578511990787,0.1596134346730534,0.0389775681997988,5.771825591509362e-10,0.0389775681997988,0.18325986943943168,6.881792051415008e-10
publish_month_sin,27472,0.006152063375979731,0.30789541418675065,0.017908456650435254,0.002993815198846395,0.017908456650435254,0.3408842085639025,0.0034373433764532686
log_lot_size,36129,0.049508187158834885,4.695770220245599e-21,-0.013561663227422617,0.009943724948694008,0.013561663227422617,7.661519833032293e-21,0.010629499083086698
lot_size,36129,0.011743322298824745,0.025606571206108205,-0.013561663227422617,0.009943724948694008,0.013561663227422617,0.03175214829557418,0.010629499083086698
publish_quarter,27472,-0.0049158891689711996,0.41520928833701504,-0.010492406986103785,0.0820256937449618,0.010492406986103785,0.4290495979482489,0.08475988353646052
publish_month,27472,-0.00996755116077882,0.09852323344324379,-0.009432008172031912,0.11798469111665538,0.009432008172031912,0.11747000910540605,0.11798469111665538
